单词,词性,次数,条数,词频,TF-IDF
狂,zg,3,1,0.001014885,-0.000305511
票选,名词,3,1,0.001014885,-0.000305511
新房,名词,3,1,0.001014885,-0.000305511
作家,名词,3,1,0.001014885,-0.000305511
拿来,动词,3,1,0.001014885,-0.000305511
汇总,名词,3,1,0.001014885,-0.000305511
祭,动词,3,1,0.001014885,-0.000305511
演出,动词,3,1,0.001014885,-0.000305511
引进,动词,3,1,0.001014885,-0.000305511
光,名词,3,1,0.001014885,-0.000305511
反,zg,3,1,0.001014885,-0.000305511
手塚治虫,人名,3,1,0.001014885,-0.000305511
文化,名词,3,1,0.001014885,-0.000305511
魔法,名词,3,1,0.001014885,-0.000305511
化,名词,3,1,0.001014885,-0.000305511
作品集,名词,3,1,0.001014885,-0.000305511
致,动词,3,1,0.001014885,-0.000305511
读者,名词,3,1,0.001014885,-0.000305511
异,zg,3,1,0.001014885,-0.000305511
好看,动词,3,1,0.001014885,-0.000305511
門,zg,3,1,0.001014885,-0.000305511
文学,名词,3,1,0.001014885,-0.000305511
战士,名词,3,1,0.001014885,-0.000305511
高达,动词,3,1,0.001014885,-0.000305511
机器人,名词,3,1,0.001014885,-0.000305511
日美,地名,3,1,0.001014885,-0.000305511
口碑,名词,3,1,0.001014885,-0.000305511
剧场,名词,3,1,0.001014885,-0.000305511
部分,名词,3,1,0.001014885,-0.000305511
田中,品牌,3,1,0.001014885,-0.000305511
泡面,名词,3,1,0.001014885,-0.000305511
三观,其它专名,3,1,0.001014885,-0.000305511
姉,zg,3,1,0.001014885,-0.000305511
待,动词,3,1,0.001014885,-0.000305511
迪士尼,品牌,3,1,0.001014885,-0.000305511
长片,名词,3,1,0.001014885,-0.000305511
还,副词,3,1,0.001014885,-0.000305511
人生,名词,3,1,0.001014885,-0.000305511
美国,地名,3,1,0.001014885,-0.000305511
編,zg,3,1,0.001014885,-0.000305511
京都,地名,3,1,0.001014885,-0.000305511
补充,动词,3,1,0.001014885,-0.000305511
完整,形容词,3,1,0.001014885,-0.000305511
获奖,动词,3,1,0.001014885,-0.000305511
佳,形容词,3,1,0.001014885,-0.000305511
平成,动词,3,1,0.001014885,-0.000305511
选集,动词,3,1,0.001014885,-0.000305511
夏新,品牌,3,1,0.001014885,-0.000305511
猎奇,动词,3,1,0.001014885,-0.000305511
名家,名词,3,1,0.001014885,-0.000305511
待补,动词,3,1,0.001014885,-0.000305511
参上,动词,3,1,0.001014885,-0.000305511
文明,名词,2,1,0.00067659,-0.000203674
健康,形容词,2,1,0.00067659,-0.000203674
食肉,名词,2,1,0.00067659,-0.000203674
筛选,动词,2,1,0.00067659,-0.000203674
介绍,动词,2,1,0.00067659,-0.000203674
警告,名词,2,1,0.00067659,-0.000203674
口味,名词,2,1,0.00067659,-0.000203674
男孩子,名词,2,1,0.00067659,-0.000203674
知道,动词,2,1,0.00067659,-0.000203674
都,副词,2,1,0.00067659,-0.000203674
妹子,名词,2,1,0.00067659,-0.000203674
簿,名词性语素,2,1,0.00067659,-0.000203674
神,名词,2,1,0.00067659,-0.000203674
扭曲,动词,2,1,0.00067659,-0.000203674
就,副词,2,1,0.00067659,-0.000203674
截止,动词,2,1,0.00067659,-0.000203674
到,动词,2,1,0.00067659,-0.000203674
個,zg,2,1,0.00067659,-0.000203674
还剩864条未导出，加入我们获取所有数据,,,,,
